"ID","FOURNISSEUR_NOM","FOURNISSEUR_REFERENCE","SizesColors","DATE_CREATION","Title","Image","Description","Category","Subcategory","SubSubcategory"
c7883865-498a-4070-b423-4c2b0740994c,GK,6552,"38/BLEU, 40/BLEU, 42/BLEU, 44/BLEU, 46/BLEU, 48/BLEU, 50/BLEU, 52/BLEU, 54/BLEU, 56/BLEU, 58/BLEU, 60/BLEU",31/07/2024,Pantalon de service FDO Femme,https://gkpro.fr/wp-content/uploads/2023/02/ghost-pantalon-de-service-feminin-pantalon-police-pantalon-gendarmerie-WEB-600x600.png,"PANTALON DE SERVICE GK POUR FEMME FORCES DE L’ORDRE  Ce pantalon FDO est spécialement conçu pour les femmes. Dérivé de la version pour homme, il présente toutes les caractéristiques du pantalon de dotation pour les Forces de l’ordre (même couleur bleu mat). Ce pantalon de service femme est une vraie révolution dans la gamme d’habillement GK.  Souple et ajusté, il épouse parfaitement la morphologie et offre une allure féminine.Le polyamide utilisé présente une bonne résistance à l’usure et une certaine stabilité thermique. Le coton quand à lui permet une bonne absorption de la transpiration. Il confère une sensation agréable au toucher, qui rend le pantalon confortable pour la peau.  La présence d’élasthanne dans sa composition favorise l’aisance et offre une liberté de mouvement et un confort accrus, qu’il est aujourd’hui difficile de trouver avec les pantalons de dotation.  Ce pantalon FDO convient au personnel féminin des Forces de l’ordre ou de la sécurité. Possédant de nombreuses poches et des passants à pressions adaptés à un ceinturon, il convient à tout type de missions : patrouille, intervention… ! Il existe aussi en version homme : Pantalon FDO COLORIS :  Coloris : Bleu Pantone 19-3921 TPX Aspect : Mat  CARACTERISTIQUES :  Pantalon en tissu stretch offrant confort et liberté de mouvement Taille haute Pressions sur les passants de ceinture pour une mise en place facile et rapide du ceinturon sans ôter ses accessoires Sangle de réglage à la ceinture avec bande auto-agrippante pour un ajustement simple et rapide à la taille Multi-poches :  5 poches obliques latérales 2 poches cuisse zippées extra plates, taille adaptée pour carnet T.A 2 poches plaquées à l’arrière Ajusté aux chevilles par élastique Coutures renforcées par surpiqûre   Notre pantalon taille grand, si vous êtes entre deux tailles, nous vous conseillons de choisir la taille en dessous  COMPATIBILITE PRODUIT :  Ceinturon et ceinture avec des passants de 50 mm   COMPOSITION :  Polyamide Coton Élasthanne",Vêtements,Bas,Pantalons
77c481c3-f338-4842-a121-44cf6ee2e513,PROMODIS,6958,,24/09/2022,LAMPE INTERVENTION TACTIQUE SUPER 400L,https://www.promodis.net/media/catalog/product/cache/ac970df93b99532c0b37d662b2202a24/l/a/lampe-intervention-tactique-super-400l-6958_6958_DEB_WEB_5.jpg,Puissance 400 Lumens* LED CREE XPG* Corps en aluminium anodisé* Mode on/off* Autonomie 5h* Fonctionne avec 3 piles AAA* Livrée avec dragonne,Accessoires,,
3491a808-2504-4cd9-88ea-5df1353cdeb7,WOOLPOWER,7222,"3XL/KAKI, 3XL/NOIR, L/KAKI, L/NOIR, M/KAKI, M/NOIR, S/KAKI, S/NOIR, XL/KAKI, XL/NOIR, XS/KAKI, XS/NOIR, XXL/KAKI, XXL/NOIR, XXS/KAKI, XXS/NOIR",11/10/2022,Veste grand froid Woolpower Zip Turtleneck 200,https://www.equipements-militaire.com/302-thickbox_default/veste-grand-froid-woolpower-zip-turtleneck-200.jpg,Veste grand froid Woolpower Zip Turtleneck 200 : utilisable comme couche intermédiaire afin de maintenir votre température lors des journées froides d'hiver.,Vêtements,Hauts,Blousons
b7e0c94f-af3e-4bd3-8e81-b3aaab9b6973,WOOLPOWER,7234,"3XL/KAKI, 3XL/NOIR, L/KAKI, L/NOIR, M/KAKI, M/NOIR, S/KAKI, S/NOIR, XL/KAKI, XL/NOIR, XS/KAKI, XS/NOIR, XXL/KAKI, XXL/NOIR, XXS/KAKI, XXS/NOIR",11/10/2022,Veste grand froid Woolpower Full Zip Jacket 400,https://www.equipements-militaire.com/298-thickbox_default/veste-grand-froid-woolpower-full-zip-jacket-400.jpg,Veste grand froid Woolpower Full Zip Jacket 400 : un vêtement chaud à utiliser seul ou comme couche intermédiaire pour vos activités hivernales.,Vêtements,Hauts,Blousons
6fe74de7-ad4f-432a-8972-77e987606ddd,WOOLPOWER,7236,"3XL/KAKI, 3XL/NOIR, L/KAKI, L/NOIR, M/KAKI, M/NOIR, S/KAKI, S/NOIR, XL/KAKI, XL/NOIR, XS/KAKI, XS/NOIR, XXL/KAKI, XXL/NOIR, XXS/KAKI, XXS/NOIR",11/10/2022,Veste grand froid Woolpower Full Zip Jacket 600,https://www.equipements-militaire.com/299-thickbox_default/veste-grand-froid-woolpower-full-zip-jacket-600.jpg,"Veste grand froid Woolpower Full Zip Jacket 600 : une veste chaude, idéale pour vous tenir au chaud lors de vos activités pendant l'hiver.",Vêtements,Hauts,Blousons
50485168-4fb4-44d8-832d-7061af4a6679,WOOLPOWER,7342,"3XL/KAKI, 3XL/NOIR, L/KAKI, L/NOIR, M/KAKI, M/NOIR, S/KAKI, S/NOIR, XL/KAKI, XL/NOIR, XS/KAKI, XS/NOIR, XXL/KAKI, XXL/NOIR, XXS/KAKI, XXS/NOIR",11/10/2022,Veste grand froid Woolpower Zip Turtleneck 200,https://www.equipements-militaire.com/302-thickbox_default/veste-grand-froid-woolpower-zip-turtleneck-200.jpg,Veste grand froid Woolpower Zip Turtleneck 200 : utilisable comme couche intermédiaire afin de maintenir votre température lors des journées froides d'hiver.,Vêtements,Hauts,Blousons
6d444e94-d85b-4f4b-98d7-10b7674b8799,Brandit,8007,,16/09/2022,US Cooper Medium Backpack ,https://brandit-wear.com/media/b1/1b/43/1711558485/8007-1_W_001.png,,Accessoires,Sacs,
07c87b93-4b13-4ed7-954d-ca069b77d1e5,Brandit,8008,,16/09/2022,US Cooper Large Backpack,https://brandit-wear.com/media/6c/cc/de/1711558495/8008-1_W_001.png,,Accessoires,Sacs,
76751936-bad8-4386-aac6-270a502c94bb,Brandit,8059,"59/CAMEL, 59/NOIR, 59/OLIVE, 59/WOODLAND",08/09/2022,Molle Phone Pouch Large,https://brandit-wear.com/media/14/52/b3/1711558583/8059-161_W_001.png,,Autres,,
e6acbe89-52a4-45a2-bd8e-899b5be8b41c,Brandit,8084,,08/11/2023,Teddyfleece Worker Pullover,https://brandit-wear.com/media/a2/0d/1c/1711558210/5023-4_W_001.png,,Vêtements,Hauts,Pulls
9c090319-0389-4e44-b117-1a6513d9cc86,Brandit,8085,,08/11/2023,US Ranger Pants,https://brandit-wear.com/media/1a/f6/05/1711557265/1006-2_W_001.png,,Vêtements,Bas,Pantalons
ee8949c0-38fb-4403-8a9c-5faf2d202612,SUMMIT,8330,"L/KAKI, L/TAN, M/KAKI, M/TAN, S/KAKI, S/TAN, XL/KAKI, XL/TAN, XXL/KAKI, XXL/TAN",02/11/2022,HAUT IGNIFUGÉ,https://summit-outdoor.com/34738-product_main_2x/haut-ignifuge.jpg,"HAUT IGNIFUGÉ

Ces produits sont uniquement disponibles sur commande. Merci de bien vouloir nous consulter

EN ISO 12688; EN ISO 13688:2013/A1:2021; EN ISO 11612:2015 (A1 B1 C1 F1)  
",Vêtements,Hauts,
3ead39d3-9ed2-492d-9d38-4cc8911babe9,WOOLPOWER,8412,"39/NOIR, 44/NOIR, 48/NOIR",11/10/2022,Viseur holographique EOTech 512,https://www.equipements-militaire.com/285-thickbox_default/viseur-holographique-eotech-512.jpg,"Viseur holographique EOTech 512 : un modèle compact et résistant, très apprécié des militaires et des forces de l'ordre à travers le monde entier.",Airsoft,réticules,
2718f68e-f6c3-4b9a-a6c2-1e679ce2c342,WOOLPOWER,8418,"39/NOIR, 42/NOIR, 45/NOIR, 48/NOIR",11/10/2022,Chaussettes Ullfrotté 800gr/m2 - Tige hauteur mi-Mollet,https://www.equipements-militaire.com/1472-thickbox_default/chaussette-ullfrotte-400gr-m2-tige-hauteur-sous-le-genou.jpg,Chaussettes Ullfrotté 800gr/m2 - Tige hauteur mi-mollet,Vêtements,Hauts,
8aefd047-356c-473e-9390-abe6b84ff18f,WOOLPOWER,8424,"39/NOIR, 44/NOIR, 48/NOIR",11/10/2022,Chaussettes grand froid Woolpower 400,https://www.equipements-militaire.com/2598-thickbox_default/chaussettes-grand-froid-woolpower-400.jpg,Chaussettes grand froid Woolpower 400 Ces chaussettes hautes conçues par Woolpower sont particulièrement conseillées pour les conditions climatiques difficiles. Leur composition permet une isolation thermique adaptée et favorise l'évacuation de l'humidité.,Autres,,
c388bfb2-73c2-46d2-a71e-db21033b109a,WOOLPOWER,8486,"39/NOIR, 44/NOIR, 48/NOIR",11/10/2022,Chaussette Ullfrotté 600gr/m2 Tige haute,https://www.equipements-militaire.com/1468-thickbox_default/chaussette-ullfrotte-400gr-m2-tige-hauteur-sous-le-genou.jpg,Chaussette Ullfrotté 600gr/m2,Vêtements,Hauts,
bd33a551-27fd-4093-8e6b-f829cd82d79d,SUMMIT,8936,"L/COYOTE, L/GREEN, L/NOIR, L/VERT, M/COYOTE, M/GREEN, M/NOIR, M/VERT, S/COYOTE, S/GREEN, S/NOIR, S/VERT, XL/COYOTE, XL/GREEN, XL/NOIR, XL/VERT, XXL/COYOTE, XXL/GREEN, XXL/NOIR, XXL/VERT",30/08/2023,HAUT IGNIFUGÉ,https://summit-outdoor.com/34738-product_main_2x/haut-ignifuge.jpg,"HAUT IGNIFUGÉ

Ces produits sont uniquement disponibles sur commande. Merci de bien vouloir nous consulter

EN ISO 12688; EN ISO 13688:2013/A1:2021; EN ISO 11612:2015 (A1 B1 C1 F1)  
",Vêtements,Hauts,
eb3cf78f-0547-4970-bd91-019adb959f13,PROMODIS,9112,"3/CAMO, 3/COYOTE, 3/NOIR",24/09/2022,SAC TACTICAL REPORT,https://www.promodis.net/media/catalog/product/cache/ac970df93b99532c0b37d662b2202a24/s/a/sac-tactical-report-9112-master_9112_DEB_WEB.JPG,"Grande classe !Sac reporter tactique de commandement et d'école avec un grand compartiment molletonné et emplacement sécurisé pour ordinateur portable, un grand rabat avec étui carte état-major intégré et des poches commandement permettant de ranger le petitmatériel, les outils de topographie et les accessoires.",Accessoires,Sacs,
2995128a-c029-4fbd-a0b7-32cde1c9238e,Brandit,9373,"3XL/CAMEL, 3XL/KAKI, 4XL/CAMEL, 4XL/KAKI, XL/CAMEL, XL/KAKI, L/CAMEL, L/KAKI, M/CAMEL, M/KAKI, S/CAMEL, S/KAKI, XXL/CAMEL, XXL/KAKI",25/08/2022,Vintage Shirt Long Sleeve,https://brandit-wear.com/media/dd/ea/b2/1711559057/9373-1_W_001.png,,Autres,,
5f5622c7-389a-4640-80e3-cc000b4283d8,Brandit,9390,"3XL/CAMEL, 3XL/KAKI, 3XL/NOIR, 4XL/CAMEL, 4XL/KAKI, 4XL/NOIR, XL/CAMEL, XL/KAKI, XL/NOIR, L/CAMEL, L/KAKI, L/NOIR, M/CAMEL, M/KAKI, M/NOIR, S/CAMEL, S/KAKI, S/NOIR, XXL/CAMEL, XXL/KAKI, XXL/NOIR",25/08/2022,Britannia Winter Jacket,https://brandit-wear.com/media/a3/33/8a/1711559062/9390-107_W_001.png,,Vêtements,Hauts,Blousons
